ST,LT,targetPercentage,stopLossPercentage,entryDifference,profitPercentage
12,100,0.0015,0.01,0.0002,-19.531956252784877
12,100,0.002,0.01,0.0002,-14.735540434880622
20,100,0.0005,0.002,1e-05,-4.7423264739263065
20,100,0.001,0.002,1e-05,-4.466818824208241
20,100,0.0015,0.002,1e-05,-2.6013572210539015
20,100,0.002,0.002,1e-05,-2.439436763033598
20,100,0.0005,0.006,1e-05,-4.908226522843195
20,100,0.001,0.006,1e-05,-2.2076537290632747
20,100,0.0015,0.006,1e-05,0.009666863856661045
20,100,0.002,0.006,1e-05,-2.0207521494661873
20,100,0.0005,0.008,1e-05,-5.921729740797444
20,100,0.001,0.008,1e-05,-3.302339889662742
20,100,0.0015,0.008,1e-05,-0.2634690661906802
20,100,0.002,0.008,1e-05,-3.437907592585643
20,100,0.0005,0.01,1e-05,-5.2286967522984344
20,100,0.001,0.01,1e-05,-2.208148132044574
20,100,0.0015,0.01,1e-05,0.8810906595901891
20,100,0.002,0.01,1e-05,-3.272803549780212
20,100,0.0005,0.002,5e-05,-18.512048705820348
20,100,0.001,0.002,5e-05,-18.04623567354453
20,100,0.0015,0.002,5e-05,-14.496683243698227
20,100,0.002,0.002,5e-05,-13.504596792785117
20,100,0.0005,0.006,5e-05,-17.18701894695406
20,100,0.001,0.006,5e-05,-17.353381598533847
20,100,0.0015,0.006,5e-05,-14.477040729517189
20,100,0.002,0.006,5e-05,-15.36868133357795
20,100,0.0005,0.008,5e-05,-21.345023165948174
20,100,0.001,0.008,5e-05,-20.33491719825782
20,100,0.0015,0.008,5e-05,-19.506330674751602
20,100,0.002,0.008,5e-05,-19.07572490363718
20,100,0.0005,0.01,5e-05,-21.180378989281067
20,100,0.001,0.01,5e-05,-21.087003759764976
20,100,0.0015,0.01,5e-05,-20.545485719630808
20,100,0.002,0.01,5e-05,-20.85252727966378
20,100,0.0005,0.002,0.0001,-22.442394118227206
20,100,0.001,0.002,0.0001,-20.230151606197154
20,100,0.0015,0.002,0.0001,-14.277524780941375
20,100,0.002,0.002,0.0001,-10.085677343083566
20,100,0.0005,0.006,0.0001,-19.26721930204541
20,100,0.001,0.006,0.0001,-15.372006248420178
20,100,0.0015,0.006,0.0001,-6.078184081205595
20,100,0.002,0.006,0.0001,-0.9369721797739983
20,100,0.0005,0.008,0.0001,-20.67138325072615
20,100,0.001,0.008,0.0001,-13.965288666748998
20,100,0.0015,0.008,0.0001,-9.379690102278548
20,100,0.002,0.008,0.0001,-3.761848167244397
20,100,0.0005,0.01,0.0001,-21.28643029214746
20,100,0.001,0.01,0.0001,-17.27910486278761
20,100,0.0015,0.01,0.0001,-12.258749982911898
20,100,0.002,0.01,0.0001,-6.5200169714142
20,100,0.0005,0.002,0.0002,-33.13156472834068
20,100,0.001,0.002,0.0002,-28.199606629696493
20,100,0.0015,0.002,0.0002,-24.253234990308613
20,100,0.002,0.002,0.0002,-19.8964807177927
20,100,0.0005,0.006,0.0002,-27.40049184797878
20,100,0.001,0.006,0.0002,-18.49940813973856
20,100,0.0015,0.006,0.0002,-17.635977492978938
20,100,0.002,0.006,0.0002,-8.958209482149048
20,100,0.0005,0.008,0.0002,-29.98406887644469
20,100,0.001,0.008,0.0002,-18.159045266390617
20,100,0.0015,0.008,0.0002,-17.163321533059495
20,100,0.002,0.008,0.0002,-12.333349426349383
20,100,0.0005,0.01,0.0002,-29.900467973791557
20,100,0.001,0.01,0.0002,-19.953966645343346
20,100,0.0015,0.01,0.0002,-19.125395337868788
20,100,0.002,0.01,0.0002,-15.746412308104274
1,200,0.0005,0.002,1e-05,-4.583214631772348
1,200,0.001,0.002,1e-05,-5.483981457221832
1,200,0.0015,0.002,1e-05,-5.3012793781589185
1,200,0.002,0.002,1e-05,-4.7787276895057795
1,200,0.0005,0.006,1e-05,-6.661479543864002
1,200,0.001,0.006,1e-05,-6.980274840177425
1,200,0.0015,0.006,1e-05,-6.983240230030097
1,200,0.002,0.006,1e-05,-6.646667457488398
