stockName,shortTerm,longTerm,targetPercentage,stopLossPercentage,entryDifference,profitPercentage
NC-GUARSEED10_F1,3,100,0.01,0.008,5e-05,-2.828700683335128
NC-GUARSEED10_F1,4,100,0.01,0.008,5e-05,8.702410873031985
NC-GUARSEED10_F1,6,100,0.01,0.008,5e-05,-3.1595703206742876
NC-GUARSEED10_F1,8,100,0.01,0.008,5e-05,26.82848468668615
NC-GUARSEED10_F1,10,100,0.01,0.008,5e-05,15.582977011352849
NC-GUARSEED10_F1,12,100,0.01,0.008,5e-05,15.404663099209404
NC-GUARSEED10_F1,14,100,0.01,0.008,5e-05,21.24228684493574
NC-GUARSEED10_F1,16,100,0.01,0.008,5e-05,6.29047375025964
NC-GUARSEED10_F1,2,150,0.01,0.008,5e-05,4.117346259072074
NC-GUARSEED10_F1,3,150,0.01,0.008,5e-05,8.56684655588169
NC-GUARSEED10_F1,4,150,0.01,0.008,5e-05,-10.664887803270007
NC-GUARSEED10_F1,6,150,0.01,0.008,5e-05,11.866756703675696
NC-GUARSEED10_F1,8,150,0.01,0.008,5e-05,19.335212847540184
NC-GUARSEED10_F1,10,150,0.01,0.008,5e-05,5.356574651159418
NC-GUARSEED10_F1,12,150,0.01,0.008,5e-05,-0.5096578749349656
NC-GUARSEED10_F1,14,150,0.01,0.008,5e-05,10.973479494869999
NC-GUARSEED10_F1,16,150,0.01,0.008,5e-05,2.7842512807546793
NC-GUARSEED10_F1,2,200,0.01,0.008,5e-05,-6.2936265708003365
NC-GUARSEED10_F1,3,200,0.01,0.008,5e-05,10.677995961306275
NC-GUARSEED10_F1,4,200,0.01,0.008,5e-05,7.7454866391013955
NC-GUARSEED10_F1,6,200,0.01,0.008,5e-05,-0.8736158168466512
NC-GUARSEED10_F1,8,200,0.01,0.008,5e-05,10.993326166274265
NC-GUARSEED10_F1,10,200,0.01,0.008,5e-05,20.80045484722195
NC-GUARSEED10_F1,12,200,0.01,0.008,5e-05,10.320296832786546
NC-GUARSEED10_F1,14,200,0.01,0.008,5e-05,-5.648989311181718
NC-GUARSEED10_F1,16,200,0.01,0.008,5e-05,20.106264740121983
NC-GUARSEED10_F1,2,250,0.01,0.008,5e-05,13.440060063183923
NC-GUARSEED10_F1,3,250,0.01,0.008,5e-05,-8.571301676198074
NC-GUARSEED10_F1,4,250,0.01,0.008,5e-05,13.814528314218677
NC-GUARSEED10_F1,6,250,0.01,0.008,5e-05,-2.8256694988037623
NC-GUARSEED10_F1,8,250,0.01,0.008,5e-05,-0.9764375447004481
NC-GUARSEED10_F1,10,250,0.01,0.008,5e-05,4.406363193733798
NC-GUARSEED10_F1,12,250,0.01,0.008,5e-05,11.393589508600632
NC-GUARSEED10_F1,14,250,0.01,0.008,5e-05,-14.393529866832067
NC-GUARSEED10_F1,16,250,0.01,0.008,5e-05,14.372024679703511
NC-GUARSEED10_F1,2,300,0.01,0.008,5e-05,-5.276439929899446
NC-GUARSEED10_F1,3,300,0.01,0.008,5e-05,8.762148488172716
NC-GUARSEED10_F1,4,300,0.01,0.008,5e-05,8.972066374382504
NC-GUARSEED10_F1,6,300,0.01,0.008,5e-05,-2.28709102681105
NC-GUARSEED10_F1,8,300,0.01,0.008,5e-05,8.841315842146047
NC-GUARSEED10_F1,10,300,0.01,0.008,5e-05,-0.9672946550056793
NC-GUARSEED10_F1,12,300,0.01,0.008,5e-05,-1.1805122993137185
NC-GUARSEED10_F1,14,300,0.01,0.008,5e-05,-8.487047395645064
NC-GUARSEED10_F1,16,300,0.01,0.008,5e-05,15.215976417712994
NC-GUARSEED10_F1,2,400,0.01,0.008,5e-05,1.7133465993935948
NC-GUARSEED10_F1,3,400,0.01,0.008,5e-05,11.32379942267403
NC-GUARSEED10_F1,4,400,0.01,0.008,5e-05,4.8731338779962385
NC-GUARSEED10_F1,6,400,0.01,0.008,5e-05,19.47590034548956
NC-GUARSEED10_F1,8,400,0.01,0.008,5e-05,9.882013567021431
NC-GUARSEED10_F1,10,400,0.01,0.008,5e-05,-4.461917077430311
NC-GUARSEED10_F1,12,400,0.01,0.008,5e-05,3.2247539013972926
NC-GUARSEED10_F1,14,400,0.01,0.008,5e-05,11.374381640186426
NC-GUARSEED10_F1,16,400,0.01,0.008,5e-05,-0.7105360929648197
NMDC_F1,2,100,0.01,0.008,5e-05,1.1795717055797184
NMDC_F1,3,100,0.01,0.008,5e-05,8.552496376234231
NMDC_F1,4,100,0.01,0.008,5e-05,-18.348417164924857
NMDC_F1,6,100,0.01,0.008,5e-05,8.270940547602091
NMDC_F1,8,100,0.01,0.008,5e-05,-12.091315081142096
NMDC_F1,10,100,0.01,0.008,5e-05,-11.989549444261105
NMDC_F1,12,100,0.01,0.008,5e-05,6.792191217990906
NMDC_F1,14,100,0.01,0.008,5e-05,17.984659557543694
NMDC_F1,16,100,0.01,0.008,5e-05,3.670896944406743
NMDC_F1,2,150,0.01,0.008,5e-05,-2.514068358202859
NMDC_F1,3,150,0.01,0.008,5e-05,17.94633601250226
NMDC_F1,4,150,0.01,0.008,5e-05,-8.277619015636251
NMDC_F1,6,150,0.01,0.008,5e-05,10.538135333811894
NMDC_F1,8,150,0.01,0.008,5e-05,2.824001051659497
NMDC_F1,10,150,0.01,0.008,5e-05,16.71078833031059
NMDC_F1,12,150,0.01,0.008,5e-05,5.241511882752881
NMDC_F1,14,150,0.01,0.008,5e-05,20.656500691222934
NMDC_F1,16,150,0.01,0.008,5e-05,-1.978644190332024
NMDC_F1,2,200,0.01,0.008,5e-05,28.731908850311694
NMDC_F1,3,200,0.01,0.008,5e-05,16.76624131720741
NMDC_F1,4,200,0.01,0.008,5e-05,9.636962479156841
NMDC_F1,6,200,0.01,0.008,5e-05,-1.2555290602207059
NMDC_F1,8,200,0.01,0.008,5e-05,6.761754180849233
NMDC_F1,10,200,0.01,0.008,5e-05,15.95660131973029
NMDC_F1,12,200,0.01,0.008,5e-05,-17.43197623016869
NMDC_F1,14,200,0.01,0.008,5e-05,-9.02562304083131
NMDC_F1,16,200,0.01,0.008,5e-05,-13.955853753600744
NMDC_F1,2,250,0.01,0.008,5e-05,2.715635389873028
NMDC_F1,3,250,0.01,0.008,5e-05,-1.201338182687739
NMDC_F1,4,250,0.01,0.008,5e-05,1.1569289443008612
NMDC_F1,6,250,0.01,0.008,5e-05,-5.73040494056174
NMDC_F1,8,250,0.01,0.008,5e-05,-1.3335735231698065
NMDC_F1,10,250,0.01,0.008,5e-05,7.796161120670275
NMDC_F1,12,250,0.01,0.008,5e-05,-10.708374848412927
NMDC_F1,14,250,0.01,0.008,5e-05,-6.340066136569744
NMDC_F1,16,250,0.01,0.008,5e-05,-18.802197904688278
NMDC_F1,2,300,0.01,0.008,5e-05,1.397424730194774
NMDC_F1,3,300,0.01,0.008,5e-05,-16.231411954032815
NMDC_F1,4,300,0.01,0.008,5e-05,2.6054818566905613
NMDC_F1,6,300,0.01,0.008,5e-05,12.70880671347452
NMDC_F1,8,300,0.01,0.008,5e-05,0.18047606404758554
NMDC_F1,10,300,0.01,0.008,5e-05,-1.4757169327447972
NMDC_F1,12,300,0.01,0.008,5e-05,7.793988250149786
NMDC_F1,14,300,0.01,0.008,5e-05,7.437219736713785
NMDC_F1,16,300,0.01,0.008,5e-05,7.061513724733937
NMDC_F1,2,400,0.01,0.008,5e-05,5.277528757096084
NMDC_F1,3,400,0.01,0.008,5e-05,1.6003955719746
NMDC_F1,4,400,0.01,0.008,5e-05,2.6545209436262374
NMDC_F1,6,400,0.01,0.008,5e-05,-18.66712583218826
NMDC_F1,8,400,0.01,0.008,5e-05,9.56978496605656
NMDC_F1,10,400,0.01,0.008,5e-05,8.84487434158132
NMDC_F1,12,400,0.01,0.008,5e-05,-1.162591477394348
NMDC_F1,14,400,0.01,0.008,5e-05,-1.1304436978191612
NMDC_F1,16,400,0.01,0.008,5e-05,-1.6748088080352885
RCOM_F1,2,100,0.01,0.008,5e-05,7.089318065536143
RCOM_F1,3,100,0.01,0.008,5e-05,5.3514902642475715
RCOM_F1,4,100,0.01,0.008,5e-05,5.315336139955629
RCOM_F1,6,100,0.01,0.008,5e-05,-1.4441470471911355
RCOM_F1,8,100,0.01,0.008,5e-05,15.44077786546023
RCOM_F1,10,100,0.01,0.008,5e-05,-9.896412221003247
RCOM_F1,12,100,0.01,0.008,5e-05,17.82763044714408
RCOM_F1,14,100,0.01,0.008,5e-05,14.787484419595476
RCOM_F1,16,100,0.01,0.008,5e-05,-0.2732997072398047
RCOM_F1,2,150,0.01,0.008,5e-05,3.5219071912018896
RCOM_F1,3,150,0.01,0.008,5e-05,23.835936922309543
RCOM_F1,4,150,0.01,0.008,5e-05,15.82288546032007
RCOM_F1,6,150,0.01,0.008,5e-05,7.6542976193710865
RCOM_F1,8,150,0.01,0.008,5e-05,10.431189329774515
RCOM_F1,10,150,0.01,0.008,5e-05,4.568121116255686
RCOM_F1,12,150,0.01,0.008,5e-05,0.39975796469793323
RCOM_F1,14,150,0.01,0.008,5e-05,6.23870822600201
RCOM_F1,16,150,0.01,0.008,5e-05,20.491630699134266
RCOM_F1,2,200,0.01,0.008,5e-05,-6.58237927320654
RCOM_F1,3,200,0.01,0.008,5e-05,-8.44008383915864
RCOM_F1,4,200,0.01,0.008,5e-05,3.4026823078649127
RCOM_F1,6,200,0.01,0.008,5e-05,2.7730664727372067
