ST,LT,targetPercentage,stopLossPercentage,entryDifference,profitPercentage
12,100,0.002,0.01,0.0002,-29.375530972213838
20,100,0.0005,0.002,1e-05,-5.819350197943063
20,100,0.001,0.002,1e-05,-4.928126600311145
20,100,0.0015,0.002,1e-05,-3.2002028684731343
20,100,0.002,0.002,1e-05,-7.387994249118613
20,100,0.0005,0.006,1e-05,-6.954690718027889
20,100,0.001,0.006,1e-05,-5.722111157805632
20,100,0.0015,0.006,1e-05,-5.257811705021409
20,100,0.002,0.006,1e-05,-9.284019523700504
20,100,0.0005,0.008,1e-05,-8.330174090014697
20,100,0.001,0.008,1e-05,-6.297304622108413
20,100,0.0015,0.008,1e-05,-5.515726230555973
20,100,0.002,0.008,1e-05,-8.820554764359112
20,100,0.0005,0.01,1e-05,-8.992754476071884
20,100,0.001,0.01,1e-05,-6.649679072095161
20,100,0.0015,0.01,1e-05,-7.062593629483949
20,100,0.002,0.01,1e-05,-10.939114829349483
20,100,0.0005,0.002,5e-05,-18.230761257075013
20,100,0.001,0.002,5e-05,-17.335131913800893
20,100,0.0015,0.002,5e-05,-20.872345748820287
20,100,0.002,0.002,5e-05,-21.1735256150413
20,100,0.0005,0.006,5e-05,-20.57703245224385
20,100,0.001,0.006,5e-05,-16.859095978851755
20,100,0.0015,0.006,5e-05,-17.502104802356854
20,100,0.002,0.006,5e-05,-18.830869590282994
20,100,0.0005,0.008,5e-05,-21.996485846767865
20,100,0.001,0.008,5e-05,-13.968354379849723
20,100,0.0015,0.008,5e-05,-13.879542116343814
20,100,0.002,0.008,5e-05,-14.091886450653535
20,100,0.0005,0.01,5e-05,-22.727031211392024
20,100,0.001,0.01,5e-05,-15.352421337549893
20,100,0.0015,0.01,5e-05,-12.440738232400328
20,100,0.002,0.01,5e-05,-13.567355510604118
20,100,0.0005,0.002,0.0001,-24.670397563441636
20,100,0.001,0.002,0.0001,-20.579408647591958
20,100,0.0015,0.002,0.0001,-25.467211990177773
20,100,0.002,0.002,0.0001,-23.978028098325122
20,100,0.0005,0.006,0.0001,-22.846895210870965
20,100,0.001,0.006,0.0001,-18.668566520888852
20,100,0.0015,0.006,0.0001,-21.40148425302234
20,100,0.002,0.006,0.0001,-13.985351991119565
20,100,0.0005,0.008,0.0001,-23.068147378817216
20,100,0.001,0.008,0.0001,-18.067166742252706
20,100,0.0015,0.008,0.0001,-20.40341214550456
20,100,0.002,0.008,0.0001,-10.85962350357268
20,100,0.0005,0.01,0.0001,-23.78286028616049
20,100,0.001,0.01,0.0001,-18.121286469194466
20,100,0.0015,0.01,0.0001,-22.485244582760945
20,100,0.002,0.01,0.0001,-13.088558150242624
20,100,0.0005,0.002,0.0002,-32.80571870105176
20,100,0.001,0.002,0.0002,-26.890187114646857
20,100,0.0015,0.002,0.0002,-25.045078548071608
20,100,0.002,0.002,0.0002,-22.944842876458527
20,100,0.0005,0.006,0.0002,-28.140053337162186
20,100,0.001,0.006,0.0002,-20.09424012753691
20,100,0.0015,0.006,0.0002,-16.283193743680968
20,100,0.002,0.006,0.0002,-14.66272360757399
20,100,0.0005,0.008,0.0002,-29.84509924143126
20,100,0.001,0.008,0.0002,-24.006365844033706
20,100,0.0015,0.008,0.0002,-17.763725354013193
20,100,0.002,0.008,0.0002,-13.307248577441522
20,100,0.0005,0.01,0.0002,-31.56144135488842
20,100,0.001,0.01,0.0002,-25.896101708911868
20,100,0.0015,0.01,0.0002,-19.340732054902933
20,100,0.002,0.01,0.0002,-17.377028073544707
1,200,0.0005,0.002,1e-05,-3.573590571728802
1,200,0.001,0.002,1e-05,-4.171043607565961
1,200,0.0015,0.002,1e-05,-4.11144521908634
1,200,0.002,0.002,1e-05,-4.012374331488877
1,200,0.0005,0.006,1e-05,-5.358840945042209
1,200,0.001,0.006,1e-05,-5.876573347242687
1,200,0.0015,0.006,1e-05,-6.6372329416998666
1,200,0.002,0.006,1e-05,-8.194345650613288
